symbol,shares,as_of,source
CHOLAHLDNG,187777462,2026-07-12,yfinance_fast_info
CIEINDIA,379362377,2026-07-12,yfinance_fast_info
CIFL,391056300,2026-07-12,yfinance_fast_info
CINELINE,34266434,2026-07-12,yfinance_fast_info
CINEVISTA,57436475,2026-07-12,yfinance_fast_info
CIPLA,807845316,2026-07-12,yfinance_fast_info
CLEAN,106282520,2026-07-12,yfinance_fast_info
CLEANMAX,117079174,2026-07-12,yfinance_fast_info
CLSEL,49725620,2026-07-12,yfinance_fast_info
CMSINFO,160063415,2026-07-12,yfinance_fast_info
CNL,15016675,2026-07-12,yfinance_fast_info
COALINDIA,6162728327,2026-07-12,yfinance_fast_info
COASTCORP,66977230,2026-07-12,yfinance_fast_info
COCHINSHIP,263080780,2026-07-12,yfinance_fast_info
COFORGE,442690811,2026-07-12,yfinance_fast_info
COHANCE,382932534,2026-07-12,yfinance_fast_info
COLPAL,271985634,2026-07-12,yfinance_fast_info
COMPUSOFT,79125188,2026-07-12,yfinance_fast_info
COMSYN,40339200,2026-07-12,yfinance_fast_info
CONCOR,761617935,2026-07-12,yfinance_fast_info
CONCORDBIO,104616204,2026-07-12,yfinance_fast_info
CONFIPET,332241043,2026-07-12,yfinance_fast_info
CONSOFINVT,32326366,2026-07-12,yfinance_fast_info
CONTROLPR,15994212,2026-07-12,yfinance_fast_info
CORALFINAC,40302225,2026-07-12,yfinance_fast_info
CORDELIA,72394543,2026-07-12,yfinance_fast_info
COROMANDEL,294496639,2026-07-12,yfinance_fast_info
COSMOFIRST,25958155,2026-07-12,yfinance_fast_info
COUNCODOS,77597300,2026-07-12,yfinance_fast_info
CPEDU,18192939,2026-07-12,yfinance_fast_info
CPPLUS,117850485,2026-07-12,yfinance_fast_info
CRAFTSMAN,26154433,2026-07-12,yfinance_fast_info
CRAMC,199417428,2026-07-12,yfinance_fast_info
CREATIVEYE,20058250,2026-07-12,yfinance_fast_info
CREDITACC,160196031,2026-07-12,yfinance_fast_info
CREST,28266775,2026-07-12,yfinance_fast_info
CRISIL,73130017,2026-07-12,yfinance_fast_info
CRIZAC,174982500,2026-07-12,yfinance_fast_info
CROMPTON,643914875,2026-07-12,yfinance_fast_info
CROWN,11223344,2026-07-12,yfinance_fast_info
CSBBANK,169477587,2026-07-12,yfinance_fast_info
CSLFINANCE,22487484,2026-07-12,yfinance_fast_info
CTE,19250771,2026-07-12,yfinance_fast_info
CUB,990787237,2026-07-12,yfinance_fast_info
CUBEXTUB,14318975,2026-07-12,yfinance_fast_info
CUMMINSIND,277200000,2026-07-12,yfinance_fast_info
CUPID,1344660700,2026-07-12,yfinance_fast_info
CURAA,9900000,2026-07-12,yfinance_fast_info
CYIENT,110490454,2026-07-12,yfinance_fast_info
CYIENTDLM,79364396,2026-07-12,yfinance_fast_info
DABUR,1773952388,2026-07-12,yfinance_fast_info
DALBHARAT,187728794,2026-07-12,yfinance_fast_info
DALMIASUG,80939303,2026-07-12,yfinance_fast_info
DAMCAPITAL,70686000,2026-07-12,yfinance_fast_info
DANGEE,153975000,2026-07-12,yfinance_fast_info
DATAMATICS,59106389,2026-07-12,yfinance_fast_info
DATAPATTNS,55983969,2026-07-12,yfinance_fast_info
DAVANGERE,1429990798,2026-07-12,yfinance_fast_info
DBCORP,178254679,2026-07-12,yfinance_fast_info
DBL,162444833,2026-07-12,yfinance_fast_info
DCAL,156783095,2026-07-12,yfinance_fast_info
DCBBANK,322077427,2026-07-12,yfinance_fast_info
DCI,16400000,2026-07-12,yfinance_fast_info
DCMSHRIRAM,154846564,2026-07-12,yfinance_fast_info
DCMSRIND,86992185,2026-07-12,yfinance_fast_info
DCW,295155017,2026-07-12,yfinance_fast_info
DCXINDIA,111386427,2026-07-12,yfinance_fast_info
DDEVPLSTIK,103476664,2026-07-12,yfinance_fast_info
DECCANCE,14007500,2026-07-12,yfinance_fast_info
DEEPAKFERT,126365329,2026-07-12,yfinance_fast_info
DEEPAKNTR,136393041,2026-07-12,yfinance_fast_info
DEEPINDS,64000000,2026-07-12,yfinance_fast_info
DELHIVERY,748848124,2026-07-12,yfinance_fast_info
DELTACORP,267771097,2026-07-12,yfinance_fast_info
DELTAMAGNT,10851120,2026-07-12,yfinance_fast_info
DEN,476765914,2026-07-12,yfinance_fast_info
DENORA,5308634,2026-07-12,yfinance_fast_info
DENTA,26700000,2026-07-12,yfinance_fast_info
DEVIT,56363714,2026-07-12,yfinance_fast_info
DEVX,94631955,2026-07-12,yfinance_fast_info
DEVYANI,1232939791,2026-07-12,yfinance_fast_info
DGCONTENT,58022421,2026-07-12,yfinance_fast_info
DHAMPURSUG,64306509,2026-07-12,yfinance_fast_info
DHANBANK,394698851,2026-07-12,yfinance_fast_info
DHANUKA,44578324,2026-07-12,yfinance_fast_info
DHARMAJ,33797296,2026-07-12,yfinance_fast_info
DHUNINV,6097178,2026-07-12,yfinance_fast_info
DIACABS,526971060,2026-07-12,yfinance_fast_info
DIAMINESQ,10053392,2026-07-12,yfinance_fast_info
DIAMONDYD,23903546,2026-07-12,yfinance_fast_info
DICIND,9178977,2026-07-12,yfinance_fast_info
DIFFNKG,37126259,2026-07-12,yfinance_fast_info
DIGIDRIVE,38469018,2026-07-12,yfinance_fast_info
DIGITIDE,149110807,2026-07-12,yfinance_fast_info
DIGJAMLMTD,20000000,2026-07-12,yfinance_fast_info
DIVGIITTS,30582927,2026-07-12,yfinance_fast_info
DIVISLAB,265468580,2026-07-12,yfinance_fast_info
DIXON,60801893,2026-07-12,yfinance_fast_info
DJML,35929249,2026-07-12,yfinance_fast_info
DLF,2475311706,2026-07-12,yfinance_fast_info
DLINKINDIA,35504850,2026-07-12,yfinance_fast_info
DMART,652245977,2026-07-12,yfinance_fast_info
DMCC,24939933,2026-07-12,yfinance_fast_info
DNAMEDIA,117708018,2026-07-12,yfinance_fast_info
DODLA,60327809,2026-07-12,yfinance_fast_info
DOLATALGO,176000000,2026-07-12,yfinance_fast_info
DOLLAR,56716120,2026-07-12,yfinance_fast_info
DOLPHIN,40004580,2026-07-12,yfinance_fast_info
DOMS,60688336,2026-07-12,yfinance_fast_info
DONEAR,52000000,2026-07-12,yfinance_fast_info
DPABHUSHAN,22827920,2026-07-12,yfinance_fast_info
DRCSYSTEMS,144081330,2026-07-12,yfinance_fast_info
DREAMFOLKS,53269862,2026-07-12,yfinance_fast_info
DREDGECORP,28000000,2026-07-12,yfinance_fast_info
DRREDDY,832710225,2026-07-12,yfinance_fast_info
DSSL,12737080,2026-07-12,yfinance_fast_info
DTIL,10507427,2026-07-12,yfinance_fast_info
DUCON,324925587,2026-07-12,yfinance_fast_info
DVL,35024754,2026-07-12,yfinance_fast_info
DWARKESH,185301470,2026-07-12,yfinance_fast_info
DYCL,48458638,2026-07-12,yfinance_fast_info
DYNAMATECH,6791443,2026-07-12,yfinance_fast_info
DYNPRO,12428387,2026-07-12,yfinance_fast_info
E2E,205390390,2026-07-12,yfinance_fast_info
EASEMYTRIP,3636853188,2026-07-12,yfinance_fast_info
EBGNG,114011517,2026-07-12,yfinance_fast_info
ECLERX,92025272,2026-07-12,yfinance_fast_info
EDELWEISS,946531653,2026-07-12,yfinance_fast_info
EFCIL,147946162,2026-07-12,yfinance_fast_info
EICHERMOT,274497530,2026-07-12,yfinance_fast_info
EIDPARRY,177955692,2026-07-12,yfinance_fast_info
EIEL,175530000,2026-07-12,yfinance_fast_info
EIHAHOTELS,60936294,2026-07-12,yfinance_fast_info
EIHOTEL,625364182,2026-07-12,yfinance_fast_info
